COUNTRY,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,Lookup Column Index,Urbanization%,Population,Region,OECD_Flag,YearPopulation
AGO,AIREMISSION,CO2,MLN_TONNE,A,1971,1.62,,15,15.434,6927269,Africa,0,14421259454
AGO,AIREMISSION,CO2,TONNE_CAP,A,1971,0.25,,15,15.434,6927269,Africa,0,14421259454
AGO,AIREMISSION,CO2,MLN_TONNE,A,1972,2.4,,16,15.875,7094834,Africa,0,14718725058
AGO,AIREMISSION,CO2,TONNE_CAP,A,1972,0.37,,16,15.875,7094834,Africa,0,14718725058
AGO,AIREMISSION,CO2,MLN_TONNE,A,1973,2.2,,17,16.324,7277960,Africa,0,15012942684
AGO,AIREMISSION,CO2,TONNE_CAP,A,1973,0.33,,17,16.324,7277960,Africa,0,15012942684
AGO,AIREMISSION,CO2,MLN_TONNE,A,1974,2.25,,18,16.785,7474338,Africa,0,15309438808
AGO,AIREMISSION,CO2,TONNE_CAP,A,1974,0.33,,18,16.785,7474338,Africa,0,15309438808
AGO,AIREMISSION,CO2,MLN_TONNE,A,1975,1.96,,19,17.255,7682479,Africa,0,15598795932
AGO,AIREMISSION,CO2,TONNE_CAP,A,1975,0.28,,19,17.255,7682479,Africa,0,15598795932
AGO,AIREMISSION,CO2,MLN_TONNE,A,1976,1.94,,20,17.737,7900997,Africa,0,15879745976
AGO,AIREMISSION,CO2,TONNE_CAP,A,1976,0.27,,20,17.737,7900997,Africa,0,15879745976
AGO,AIREMISSION,CO2,MLN_TONNE,A,1977,1.51,,21,18.228,8130988,Africa,0,16159576388
AGO,AIREMISSION,CO2,TONNE_CAP,A,1977,0.2,,21,18.228,8130988,Africa,0,16159576388
AGO,AIREMISSION,CO2,MLN_TONNE,A,1978,2.58,,22,18.73,8376147,Africa,0,16444120936
AGO,AIREMISSION,CO2,TONNE_CAP,A,1978,0.33,,22,18.73,8376147,Africa,0,16444120936
AGO,AIREMISSION,CO2,MLN_TONNE,A,1979,2.54,,23,19.242,8641521,Africa,0,16736164414
AGO,AIREMISSION,CO2,TONNE_CAP,A,1979,0.32,,23,19.242,8641521,Africa,0,16736164414
AGO,AIREMISSION,CO2,MLN_TONNE,A,1980,2.66,,24,19.766,8929900,Africa,0,17031024334
AGO,AIREMISSION,CO2,TONNE_CAP,A,1980,0.32,,24,19.766,8929900,Africa,0,17031024334
AGO,AIREMISSION,CO2,MLN_TONNE,A,1981,2.52,,25,20.299,9244507,Africa,0,17334569108
AGO,AIREMISSION,CO2,TONNE_CAP,A,1981,0.3,,25,20.299,9244507,Africa,0,17334569108
AGO,AIREMISSION,CO2,MLN_TONNE,A,1982,2.2,,26,20.843,9582156,Africa,0,17648170726
AGO,AIREMISSION,CO2,TONNE_CAP,A,1982,0.25,,26,20.843,9582156,Africa,0,17648170726
AGO,AIREMISSION,CO2,MLN_TONNE,A,1983,2.32,,27,21.398,9931562,Africa,0,17964413282
AGO,AIREMISSION,CO2,TONNE_CAP,A,1983,0.25,,27,21.398,9931562,Africa,0,17964413282
AGO,AIREMISSION,CO2,MLN_TONNE,A,1984,2.23,,28,21.965,10277321,Africa,0,18278874444
AGO,AIREMISSION,CO2,TONNE_CAP,A,1984,0.24,,28,21.965,10277321,Africa,0,18278874444
AGO,AIREMISSION,CO2,MLN_TONNE,A,1985,2.82,,29,22.541,10609042,Africa,0,18603268476
AGO,AIREMISSION,CO2,TONNE_CAP,A,1985,0.29,,29,22.541,10609042,Africa,0,18603268476
AGO,AIREMISSION,CO2,MLN_TONNE,A,1986,2.77,,30,23.128,10921037,Africa,0,18937980438
AGO,AIREMISSION,CO2,TONNE_CAP,A,1986,0.28,,30,23.128,10921037,Africa,0,18937980438
AGO,AIREMISSION,CO2,MLN_TONNE,A,1987,2.85,,31,23.725,11218268,Africa,0,19277132504
AGO,AIREMISSION,CO2,TONNE_CAP,A,1987,0.28,,31,23.725,11218268,Africa,0,19277132504
AGO,AIREMISSION,CO2,MLN_TONNE,A,1988,3.21,,32,24.334,11513968,Africa,0,19619779702
AGO,AIREMISSION,CO2,TONNE_CAP,A,1988,0.3,,32,24.334,11513968,Africa,0,19619779702
AGO,AIREMISSION,CO2,MLN_TONNE,A,1989,3.3,,33,24.952,11827237,Africa,0,19963011390
AGO,AIREMISSION,CO2,TONNE_CAP,A,1989,0.31,,33,24.952,11827237,Africa,0,19963011390
AGO,AIREMISSION,CO2,MLN_TONNE,A,1990,3.92,,34,25.582,12171441,Africa,0,33411082420
AGO,AIREMISSION,CO2,TONNE_CAP,A,1990,0.35,,34,25.582,12171441,Africa,0,33411082420
AGO,AIREMISSION,CO2,MLN_TONNE,A,1991,4.01,,35,26.221,12553446,Africa,0,33724183392
AGO,AIREMISSION,CO2,TONNE_CAP,A,1991,0.35,,35,26.221,12553446,Africa,0,33724183392
AGO,AIREMISSION,CO2,MLN_TONNE,A,1992,3.89,,36,26.872,12968345,Africa,0,34173602608
AGO,AIREMISSION,CO2,TONNE_CAP,A,1992,0.33,,36,26.872,12968345,Africa,0,34173602608
